Company Name, Price Shares, Purchase price, Link, Director, Officer, Ten Percent, 
MedAvail Holdings Inc.[MDVL] ,14.9959 ,104116.5337 ,https://www.sec.gov/Archives/edgar/data/1402479/000089924321000379/xslF345X03/doc4.xml ,0, 0, 1, 
MedAvail Holdings Inc.[MDVL] ,14.9959 ,85881.5193 ,https://www.sec.gov/Archives/edgar/data/1402479/000089924321000379/xslF345X03/doc4.xml ,0, 0, 1, 
Howard Hughes Corp[HHC] ,79.12 ,4.548181552E7 ,https://www.sec.gov/Archives/edgar/data/1056513/000089924321001184/xslF345X03/doc4.xml ,1, 0, 1, 
Howard Hughes Corp[HHC] ,79.12 ,8.141448E7 ,https://www.sec.gov/Archives/edgar/data/1056513/000089924321001184/xslF345X03/doc4.xml ,1, 0, 1, 
Howard Hughes Corp[HHC] ,79.12 ,7.223656E7 ,https://www.sec.gov/Archives/edgar/data/1056513/000089924321001184/xslF345X03/doc4.xml ,1, 0, 1, 
Howard Hughes Corp[HHC] ,11.25 ,2.314125E7 ,https://www.sec.gov/Archives/edgar/data/1056513/000089924321001184/xslF345X03/doc4.xml ,1, 0, 1, 
Howard Hughes Corp[HHC] ,17.33 ,2.4357314999999996E7 ,https://www.sec.gov/Archives/edgar/data/1056513/000089924321001184/xslF345X03/doc4.xml ,1, 0, 1, 
ADAMS DIVERSIFIED EQUITY FUND INC.[ADX] ,17.2699 ,49996.3605 ,https://www.sec.gov/Archives/edgar/data/2230/000000223021000001/xslF345X03/primary_doc.xml ,1, 0, 0, 
ADAMS NATURAL RESOURCES FUND INC.[PEO] ,11.3983 ,49981.5455 ,https://www.sec.gov/Archives/edgar/data/216851/000021685121000001/xslF345X03/primary_doc.xml ,1, 0, 0, 
RGC RESOURCES INC[RGCO] ,24.21 ,1500.00318 ,https://www.sec.gov/Archives/edgar/data/1069533/000131462621000001/xslF345X03/primary_doc.xml ,1, 0, 0, 
AILERON THERAPEUTICS INC[ALRN] ,1.1 ,9900000.0 ,https://www.sec.gov/Archives/edgar/data/1315797/000089924321001163/xslF345X03/doc4.xml ,1, 1, 0, 
AIR T INC[AIRT] ,20.1118 ,262137.20119999998 ,https://www.sec.gov/Archives/edgar/data/353184/000156761921000022/xslF345X03/doc1.xml ,1, 0, 0, 
AIR T INC[AIRT] ,20.1116 ,112343.3976 ,https://www.sec.gov/Archives/edgar/data/353184/000156761921000022/xslF345X03/doc1.xml ,1, 0, 0, 
AIR T INC[AIRT] ,20.1118 ,374421.3806 ,https://www.sec.gov/Archives/edgar/data/353184/000156761921000024/xslF345X03/doc1.xml ,1, 1, 1, 
AMG Pantheon Fund LLC[XPEPX] ,16.09 ,119999.22 ,https://www.sec.gov/Archives/edgar/data/1609211/000089924321000295/xslF345X03/doc4.xml ,1, 0, 0, 
AMICUS THERAPEUTICS INC.[FOLD] ,23.17 ,34755.0 ,https://www.sec.gov/Archives/edgar/data/1178879/000120919121001640/xslF345X03/doc4.xml ,1, 0, 0, 
AMREP CORP.[AXR] ,7.98 ,7980.0 ,https://www.sec.gov/Archives/edgar/data/6207/000110465921002486/xslF345X03/tm212171-1_4seq1.xml ,1, 0, 0, 
AUBURN NATIONAL BANCORPORATION INC[AUBN] ,42.3709 ,932.1598 ,https://www.sec.gov/Archives/edgar/data/750574/000120919121000434/xslF345X03/doc4.xml ,1, 0, 0, 
AUBURN NATIONAL BANCORPORATION INC[AUBN] ,42.55 ,468.04999999999995 ,https://www.sec.gov/Archives/edgar/data/750574/000120919121000434/xslF345X03/doc4.xml ,1, 0, 0, 
EYEGATE PHARMACEUTICALS INC[EYEG] ,5.225 ,8000002.725 ,https://www.sec.gov/Archives/edgar/data/1372514/000091957421000168/xslF345X03/ownership.xml ,1, 0, 1, 
EYEGATE PHARMACEUTICALS INC[EYEG] ,0.0 ,0.0 ,https://www.sec.gov/Archives/edgar/data/1372514/000091957421000168/xslF345X03/ownership.xml ,1, 0, 1, 
EYEGATE PHARMACEUTICALS INC[EYEG] ,0.0 ,0.0 ,https://www.sec.gov/Archives/edgar/data/1372514/000091957421000168/xslF345X03/ownership.xml ,1, 0, 1, 
EYEGATE PHARMACEUTICALS INC[EYEG] ,0.0 ,0.0 ,https://www.sec.gov/Archives/edgar/data/1372514/000091957421000168/xslF345X03/ownership.xml ,1, 0, 1, 
ATHENA SILVER CORP[AHNR] ,0.03 ,48900.0 ,https://www.sec.gov/Archives/edgar/data/929131/000168316821000054/xslF345X03/ownership.xml ,1, 1, 1, 
AUBURN NATIONAL BANCORPORATION INC[AUBN] ,42.3709 ,932.1598 ,https://www.sec.gov/Archives/edgar/data/750574/000120919121001860/xslF345X03/doc4.xml ,1, 0, 0, 
AUBURN NATIONAL BANCORPORATION INC[AUBN] ,42.55 ,595.6999999999999 ,https://www.sec.gov/Archives/edgar/data/750574/000120919121001860/xslF345X03/doc4.xml ,1, 0, 0, 
AUBURN NATIONAL BANCORPORATION INC[AUBN] ,42.3709 ,932.1598 ,https://www.sec.gov/Archives/edgar/data/750574/000120919121001876/xslF345X03/doc4.xml ,1, 0, 0, 
AUBURN NATIONAL BANCORPORATION INC[AUBN] ,42.55 ,255.29999999999998 ,https://www.sec.gov/Archives/edgar/data/750574/000120919121001876/xslF345X03/doc4.xml ,1, 0, 0, 
AUBURN NATIONAL BANCORPORATION INC[AUBN] ,42.3709 ,296.5963 ,https://www.sec.gov/Archives/edgar/data/750574/000120919121001911/xslF345X03/doc4.xml ,0, 1, 0, 
AUBURN NATIONAL BANCORPORATION INC[AUBN] ,42.55 ,297.84999999999997 ,https://www.sec.gov/Archives/edgar/data/750574/000120919121001911/xslF345X03/doc4.xml ,0, 1, 0, 
AUBURN NATIONAL BANCORPORATION INC[AUBN] ,42.3709 ,677.9344 ,https://www.sec.gov/Archives/edgar/data/750574/000120919121001918/xslF345X03/doc4.xml ,1, 0, 0, 
AUBURN NATIONAL BANCORPORATION INC[AUBN] ,42.55 ,382.95 ,https://www.sec.gov/Archives/edgar/data/750574/000120919121001918/xslF345X03/doc4.xml ,1, 0, 0, 
MID PENN BANCORP INC[MPB] ,21.9 ,503.7 ,https://www.sec.gov/Archives/edgar/data/879635/000117184321000051/xslF345X03/ownership.xml ,1, 0, 0, 
FIRST FINANCIAL BANCORP /OH/[FFBC] ,17.53 ,3120.34 ,https://www.sec.gov/Archives/edgar/data/708955/000112760221000459/xslF345X03/form4.xml ,1, 
    , 
        , 
Carter Bankshares Inc.[CARE] ,10.63 ,287.01000000000005 ,https://www.sec.gov/Archives/edgar/data/1825282/000141588921000025/xslF345X03/form4-01042021_020133.xml ,false, true, false, 
Arlington Asset Investment Corp.[AAIC] ,3.818 ,38180.0 ,https://www.sec.gov/Archives/edgar/data/1209028/000089924321000893/xslF345X03/doc4.xml ,1, 1, 0, 
Arlington Asset Investment Corp.[AAIC] ,3.899 ,38990.0 ,https://www.sec.gov/Archives/edgar/data/1209028/000089924321000893/xslF345X03/doc4.xml ,1, 1, 0, 
At Home Group Inc.[HOME] ,15.6827 ,3136540.0 ,https://www.sec.gov/Archives/edgar/data/1646228/000138713121000216/xslF345X03/ownership.xml ,0, 0, 1, 
At Home Group Inc.[HOME] ,16.3719 ,2783108.3967 ,https://www.sec.gov/Archives/edgar/data/1646228/000138713121000285/xslF345X03/ownership.xml ,0, 0, 1, 
At Home Group Inc.[HOME] ,17.5475 ,4825685.3325 ,https://www.sec.gov/Archives/edgar/data/1646228/000138713121000382/xslF345X03/ownership.xml ,0, 0, 1, 
Atlantic Union Bankshares Corp[AUB] ,32.7946 ,32794.600000000006 ,https://www.sec.gov/Archives/edgar/data/883948/000141588921000024/xslF345X03/form4-01042021_020149.xml ,true, false, false, 
Atlantic Union Bankshares Corp[AUB] ,32.8186 ,32818.600000000006 ,https://www.sec.gov/Archives/edgar/data/883948/000141588921000024/xslF345X03/form4-01042021_020149.xml ,true, false, false, 
Atlantic Union Bankshares Corp[AUB] ,32.3666 ,32366.6 ,https://www.sec.gov/Archives/edgar/data/883948/000141588921000024/xslF345X03/form4-01042021_020149.xml ,true, false, false, 
Atlantic Union Bankshares Corp[AUB] ,32.8217 ,32821.7 ,https://www.sec.gov/Archives/edgar/data/883948/000141588921000256/xslF345X03/form4-01072021_020155.xml ,true, false, false, 
Avangrid Inc.[AGR] ,45.48 ,5002.799999999999 ,https://www.sec.gov/Archives/edgar/data/1339767/000163499721000002/xslF345X03/primary_doc.xml ,1, 0, 0, 
FIRST FINANCIAL BANCORP /OH/[FFBC] ,17.53 ,12498.890000000001 ,https://www.sec.gov/Archives/edgar/data/708955/000112760221000487/xslF345X03/form4.xml ,1, 
    , 
        , 
COLUMBIA BANKING SYSTEM INC.[COLB] ,24.06 ,5269.139999999999 ,https://www.sec.gov/Archives/edgar/data/887343/000088734321000012/xslF345X03/wf-form4_161013709698620.xml ,0, 1, 0, 
BBR ALO Fund LLC[NONE] ,13.4224 ,5000.0050688 ,https://www.sec.gov/Archives/edgar/data/1810700/000106299321000134/xslF345X03/form4.xml ,1, 0, 0, 
BERKSHIRE HATHAWAY INC[BRK.A] ,222.3337 ,889334.7999999999 ,https://www.sec.gov/Archives/edgar/data/1067983/000120919121002201/xslF345X03/doc4.xml ,1, 0, 0, 
CNL Strategic Capital LLC[NONE] ,0.0 ,0.0 ,https://www.sec.gov/Archives/edgar/data/1684682/000138713121000051/xslF345X03/ownership.xml ,0, 1, 0, 
Cheniere Energy Partners L.P.[CQP] ,34.77 ,1779250.4400000002 ,https://www.sec.gov/Archives/edgar/data/1383650/000089924321000503/xslF345X03/doc4.xml ,0, 0, 1, 
Cheniere Energy Partners L.P.[CQP] ,35.43 ,721354.8 ,https://www.sec.gov/Archives/edgar/data/1383650/000089924321000503/xslF345X03/doc4.xml ,0, 0, 1, 
Cheniere Energy Partners L.P.[CQP] ,34.93 ,1481905.25 ,https://www.sec.gov/Archives/edgar/data/1383650/000089924321000782/xslF345X03/doc4.xml ,0, 0, 1, 
BIMINI CAPITAL MANAGEMENT INC.[BMNM] ,1.02 ,4111.62 ,https://www.sec.gov/Archives/edgar/data/1275477/000151862121000014/xslF345X03/form4.xml ,true, true, 
    , 
BIMINI CAPITAL MANAGEMENT INC.[BMNM] ,1.035 ,310.5 ,https://www.sec.gov/Archives/edgar/data/1275477/000151862121000016/xslF345X03/form4.xml ,null, null, null, 
BIMINI CAPITAL MANAGEMENT INC.[BMNM] ,1.05 ,1627.5 ,https://www.sec.gov/Archives/edgar/data/1275477/000151862121000016/xslF345X03/form4.xml ,null, null, null, 
Carter Bankshares Inc.[CARE] ,10.63 ,488.98 ,https://www.sec.gov/Archives/edgar/data/1826179/000141588921000044/xslF345X03/form4-01052021_060153.xml ,true, false, false, 
BM Technologies Inc.[BMTX] ,10.38 ,21424.320000000003 ,https://www.sec.gov/Archives/edgar/data/1725872/000147450621000024/xslF345X03/primary_doc.xml ,1, 0, 0, 
DALRADA FINANCIAL CORP[DFCO] ,0.1396 ,3943.7000000000003 ,https://www.sec.gov/Archives/edgar/data/725394/000168316821000014/xslF345X03/ownership.xml ,1, 1, 0, 
DALRADA FINANCIAL CORP[DFCO] ,0.15 ,375.0 ,https://www.sec.gov/Archives/edgar/data/725394/000168316821000014/xslF345X03/ownership.xml ,1, 1, 0, 
DALRADA FINANCIAL CORP[DFCO] ,0.29 ,434.99999999999994 ,https://www.sec.gov/Archives/edgar/data/725394/000168316821000014/xslF345X03/ownership.xml ,1, 1, 0, 
DALRADA FINANCIAL CORP[DFCO] ,0.4125 ,412.5 ,https://www.sec.gov/Archives/edgar/data/725394/000168316821000014/xslF345X03/ownership.xml ,1, 1, 0, 
DALRADA FINANCIAL CORP[DFCO] ,0.2197 ,856.83 ,https://www.sec.gov/Archives/edgar/data/725394/000168316821000014/xslF345X03/ownership.xml ,1, 1, 0, 
DALRADA FINANCIAL CORP[DFCO] ,0.2225 ,22.25 ,https://www.sec.gov/Archives/edgar/data/725394/000168316821000014/xslF345X03/ownership.xml ,1, 1, 0, 
Compass Diversified Holdings[CODI] ,19.6166 ,99632.71139999999 ,https://www.sec.gov/Archives/edgar/data/1244794/000120919121001153/xslF345X03/doc4.xml ,0, 0, 0, 
NEW JERSEY MINING CO[NJMC] ,0.15 ,15000.0 ,https://www.sec.gov/Archives/edgar/data/1030192/000105291821000001/xslF345X03/primary_doc.xml ,0, 1, 0, 
NEW JERSEY MINING CO[NJMC] ,0.1 ,15000.0 ,https://www.sec.gov/Archives/edgar/data/1030192/000105291821000001/xslF345X03/primary_doc.xml ,0, 1, 0, 
CORPORATE OFFICE PROPERTIES TRUST[OFC] ,25.74 ,15006.419999999998 ,https://www.sec.gov/Archives/edgar/data/860546/000117911021000048/xslF345X03/edgar.xml ,0, 1, 0, 
Compass Diversified Holdings[CODI] ,19.6146 ,99622.55339999999 ,https://www.sec.gov/Archives/edgar/data/1204375/000120919121001162/xslF345X03/doc4.xml ,0, 0, 0, 
Cardinal Ethanol LLC[NA] ,5000.0 ,40000.0 ,https://www.sec.gov/Archives/edgar/data/1352081/000147149821000001/xslF345X03/primary_doc.xml ,1, 0, 1, 
Cardinal Ethanol LLC[NA] ,5000.0 ,80000.0 ,https://www.sec.gov/Archives/edgar/data/1352081/000147149821000001/xslF345X03/primary_doc.xml ,1, 0, 1, 
Bankwell Financial Group Inc.[BWFG] ,19.83 ,1031.1599999999999 ,https://www.sec.gov/Archives/edgar/data/1505732/000150573221000009/xslF345X03/wf-form4_160996411319723.xml ,1, 0, 0, 
Bankwell Financial Group Inc.[BWFG] ,19.83 ,951.8399999999999 ,https://www.sec.gov/Archives/edgar/data/1505732/000150573221000011/xslF345X03/wf-form4_160996414642108.xml ,1, 0, 0, 
Bankwell Financial Group Inc.[BWFG] ,19.83 ,1189.8 ,https://www.sec.gov/Archives/edgar/data/1505732/000150573221000014/xslF345X03/wf-form4_160996419748350.xml ,1, 0, 0, 
MALVERN BANCORP INC.[MLVF] ,15.5 ,2419.2709999999997 ,https://www.sec.gov/Archives/edgar/data/1550603/000120919121002231/xslF345X03/doc4.xml ,1, 0, 0, 
Fortress Value Acquisition Corp. III[FVT] ,0.0 ,0.0 ,https://www.sec.gov/Archives/edgar/data/1382028/000089924321000869/xslF345X03/doc4.xml ,0, 1, 0, 
Fortress Value Acquisition Corp. III[FVT] ,0.0 ,0.0 ,https://www.sec.gov/Archives/edgar/data/1382028/000089924321000869/xslF345X03/doc4.xml ,0, 1, 0, 
GLOBAL MACRO TRUST[None] ,3500.0 ,5939.5 ,https://www.sec.gov/Archives/edgar/data/1145765/000129457221000001/xslF345X03/primary_doc.xml ,0, 0, 0, 
Bespoke Extracts Inc.[BSPK] ,0.02 ,100000.0 ,https://www.sec.gov/Archives/edgar/data/1409197/000121390021000938/xslF345X03/ownership.xml ,1, 1, 1, 
Stock Yards Bancorp Inc.[SYBT] ,40.38 ,788.4195 ,https://www.sec.gov/Archives/edgar/data/835324/000143774921000346/xslF345X03/rdgdoc.xml ,1, 
    , 
        , 
BlackRock Capital Allocation Trust[BCAT] ,21.6969 ,173575.19999999998 ,https://www.sec.gov/Archives/edgar/data/1436848/000089924321001033/xslF345X03/doc4.xml ,0, 0, 0, 
BlackRock Capital Allocation Trust[BCAT] ,21.87 ,32805.0 ,https://www.sec.gov/Archives/edgar/data/1809541/000089924321001036/xslF345X03/doc4.xml ,0, 0, 0, 
